url,title,nodes_number
https://www.youtube.com/watch?v=1Irng_IZV84,Анализ данных в Pandas | Вебинар Анатолия Карпова | karpov.courses,14
https://www.youtube.com/watch?v=qrBlWw0toIw,Агрегация данных | Симулятор SQL | karpov.courses,8
https://www.youtube.com/watch?v=WpgRkRELP5I,Применение ML-моделей в потоковой обработке данных | karpov.courses,15
https://www.youtube.com/watch?v=etewaQlTl-Y,"Александр Бойко – я уверен, что дата-сайентистом может стать каждый | Интервью | karpov.courses",20
https://www.youtube.com/watch?v=JI8XMduJfMs,DataLens: подключение данных | karpov.courses,16
https://www.youtube.com/watch?v=zIkrPzCLXFA,«Инженер данных»: преподаватели о курсе | karpov.courses,15
https://www.youtube.com/watch?v=w-0NdY8y-4Y,Валерий Бабушкин о работе в Facebook и трендах Data Science | Интервью | karpov.courses,18
https://www.youtube.com/watch?v=gPD7Okf8rIQ,Женя Цаплин – Data Science как бизнес | Подкаст | karpov.courses,17
https://www.youtube.com/watch?v=DXwjtmk9Zpo,"Михаил Рожков — я сторонник того, чтобы всё автоматизировать | Подкаст | karpov.courses",16
https://www.youtube.com/watch?v=9RVKtz86Jw0,Спорим о Hadoop: пора ли прощаться с любимым инструментом?,16
https://www.youtube.com/watch?v=CrR623MDBM0,"Павел Щербинин — о Сбермаркете, Mail.ru и Практикуме | Подкаст | karpov.courses",17
https://www.youtube.com/watch?v=LhmU-oPFxj4,Зачем нужен Симулятор ML-инженера? | Валерий Бабушкин | karpov.courses,5
https://www.youtube.com/watch?v=qL1nxnEL0gE,Сергей Бережной — от html-вёрстки до управления разработкой в Яндексе | Подкаст | karpov.courses,16
https://www.youtube.com/watch?v=RSsBpWwnE1o,Старт карьеры в аналитике | Взгляд HR | karpov.courses,16
https://www.youtube.com/watch?v=EM7RQhqhr34,Андрей Кротких — как попасть в IT из желания помогать людям | Подкаст | karpov.courses,21
https://www.youtube.com/watch?v=c7TTe5_cnc0,Арамаис Малхасян — в аналитики из семьи врачей | Подкаст | karpov.courses,17
https://www.youtube.com/watch?v=3LsBhdb-PI4,Ваня Нетреба — о работе в IT после учёбы на геодезиста | Подкаст | karpov.courses,19
https://www.youtube.com/watch?v=J4NS0IfEk7c,Максим Приходский — проработать десять лет в одной компании и не выгореть | Подкаст | karpov.courses,18
https://www.youtube.com/watch?v=uMWuhEJ1obo,Иван Иванчей о машинном обучении и психологии | Интервью | karpov.courses,23
https://www.youtube.com/watch?v=RMyi-sazRTw,Как найти первую работу в Data Science? | Взгляд HR | karpov.courses,16
https://www.youtube.com/watch?v=SASCRdieEP8,SQL запросы в Pandas | Анатолий Карпов | karpov.courses,18
https://www.youtube.com/watch?v=d19P4zOI_U8,"Михаил Серёгин – ЭЭГ, нейромаркетинг и Яндекс | Подкаст | karpov.courses",17
https://www.youtube.com/watch?v=fXCfO3hKv4w,Какая роль у аналитика в команде? | Аналитик данных | karpov.courses,10
https://www.youtube.com/watch?v=xfH2QMdCvWA,System Design с Валерием Бабушкиным | Выпуск 4 | Собеседование | karpov.courses,17
https://www.youtube.com/watch?v=bKIYyMWNlrQ,Группировка данных | Симулятор SQL | karpov.courses,15
https://www.youtube.com/watch?v=64yoZSMEhoY,Поведенческое интервью | Behavioral Interview | Выпуск 2 | Валерий Бабушкин | karpov.courses,16
https://www.youtube.com/watch?v=dlc7yJ6BGxE,Константин Павлов о маркетинговой аналитике | Интервью | karpov.courses,18
https://www.youtube.com/watch?v=rbIpf8fDYyE,Обзор курса «Инженер данных» | Евгений Ермаков (Яндекс.Go) | karpov.courses,9
https://www.youtube.com/watch?v=6wGqWxFtnho,Data Science в России | Голосовой чат | karpov.courses,16
https://www.youtube.com/watch?v=RQGiMlcq4FE,DataLens: создание чартов и расчетные поля | karpov.courses,15
https://www.youtube.com/watch?v=vSr1OSYJuu4,"Ксюша Байдина — Пермь, Германия, Яндекс | Подкаст | karpov.courses",18
https://www.youtube.com/watch?v=55y2GKvfYPc,"Игорь Котенков обо всём, что вы хотели узнать о карьере в DS | Интервью | karpov.courses",23
https://www.youtube.com/watch?v=zTGxoO1wSas,Федя Яковлев — из репетиторов в аналитики через ШАД | Подкаст | karpov.courses,20
https://www.youtube.com/watch?v=3YPNB8XgWzc,"Валерий Бабушкин об уходе из Blockchain.com, книге и будущем LLM | Интервью | karpov.courses",17
https://www.youtube.com/watch?v=ClwKrqX2KDU,Моделирование течения инфекционных заболеваний | Вебинар Яна Пиле | karpov.courses,10
https://www.youtube.com/watch?v=apRK-HDcn5M,Сергей Панюшкин — от увлечения iOS к управлению ростом | Подкаст | karpov.courses,19
https://www.youtube.com/watch?v=8b0NiATN1xg,Алексей Никушин – Как собрать конференцию аналитиков | Подкаст | karpov.courses,20
https://www.youtube.com/watch?v=PZK47FxzWsk,"DataLens: дашборды, селекторы и параметры | karpov.courses",15
https://www.youtube.com/watch?v=I5uSqwo91xA,JetBrains DataSpell IDE для Data Science | Анатолий Карпов | karpov.courses,16
https://www.youtube.com/watch?v=uqJV765l3sI,Автокорректор ошибок правописания на Python | Вебинар Яна Пиле | karpov.courses,16
https://www.youtube.com/watch?v=EW1dr9sdsyQ,Визуализация в Superset: плюсы и минусы | Анатолий Карпов | karpov.courses,17
https://www.youtube.com/watch?v=XWbN5v_a1Lk,Оконные функции основы | Симулятор SQL | karpov.courses,16
